match_type,date,time,location,opp_team,home_away,opp_score,barca_score,barca_result,stadium,attendance,referee,day
First Leg,2012-12-12,20:00,Córdoba,Córdoba,A,0,2,W,Nuevo Arcángel,20000,Del Cerro Grande,
Second Leg,2013-01-10,21:30,Barcelona,Córdoba,H,0,5,W,Camp Nou,37607,Hernández Hernández,
First leg,2013-01-16,21:30,Barcelona,Málaga,H,2,2,D,Camp Nou,55151,González González,
Second leg,2013-01-24,22:00,Málaga,Málaga,A,2,4,W,La Rosaleda,27099,Mateu Lahoz,
First leg,2013-01-30,21:00,Madrid,Real Madrid,A,1,1,D,Santiago Bernabéu,78000,Clos Gómez,
Second leg,2013-02-26,21:00,Barcelona,Real Madrid,H,3,1,L,Camp Nou,95002,Undiano Mallenco,
1,2012-09-19,20:45 CEST,"Barcelona, Spain",Spartak Moscow,H,2,3,W,Camp Nou,82241,Milorad Mažić,
2,2012-10-02,20:45 CEST,"Lisbon, Portugal",Benfica,A,0,2,W,Estádio da Luz,63847,Cüneyt Çakır,
3,2012-10-23,20:45 CEST,"Barcelona, Spain",Celtic,H,1,2,W,Camp Nou,77781,Gianluca Rocchi,
4,2012-11-07,20:45 CET,"Glasgow, Scotland",Celtic,A,2,1,L,Celtic Park,58841,[126],
5,2012-11-20,18:00 CET,"Moscow, Russia",Spartak Moscow,A,0,3,W,Luzhniki Stadium,67325,Ivan Bebek,
6,2012-12-05,20:45 CET,"Barcelona, Spain",Benfica,H,0,0,D,Camp Nou,50659,Svein Oddvar Moen,
First leg,2013-02-20,20:45 CET,"Milan, Italy",Milan,A,2,0,L,San Siro,79532,Craig Thomson,
Second leg,2013-03-12,20:45 CET,"Barcelona, Spain",Milan,H,0,4,W,Camp Nou,94944,Viktor Kassai,
First leg,2013-04-02,20:45 CEST,"Paris, France",Paris Saint-Germain,A,2,2,D,Parc des Princes,45336,Wolfgang Stark,
Second leg,2013-04-10,20:45 CEST,"Barcelona, Spain",Paris Saint-Germain,H,1,1,D,Camp Nou,96022,Björn Kuipers,
First leg,2013-04-23,20:45 CEST,"Munich, Germany",Bayern Munich,A,4,0,L,Allianz Arena,68000,Viktor Kassai,
Second leg,2013-05-01,20:45 CEST,"Barcelona, Spain",Bayern Munich,H,3,0,L,Camp Nou,95877,Damir Skomina,
